record_id,school_code,school_name,school_inep,sex,age_years,age_group,shift,mother_education,income_group,race_group,insecurity_level,any_insecurity,moderate_severe,social_benefit_raw
R0001,7,Centro Educacional São José,53011988,Masculino,11.573,10–11 anos,Matutino,≥12 anos,,Pardos/pretos,,,,
R0002,2,CED São Bartolomeu,53014880,Feminino,11.863,10–11 anos,Vespertino,9–11 anos,,Pardos/pretos,,,,
R0003,1,Escola Classe Dom Bosco,53068220,Masculino,10.031,10–11 anos,Vespertino,,,,,,,
R0004,5,Escola Classe São Bartolomeu,53012178,Masculino,8.353,7–9 anos,Vespertino,≥12 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0005,2,CED São Bartolomeu,53014880,Feminino,11.42,10–11 anos,Vespertino,9–11 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0006,,,,Masculino,11.0,10–11 anos,Vespertino,,,,,,,
R0007,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,8.148,7–9 anos,Matutino,9–11 anos,,Pardos/pretos,,,,
R0008,1,Escola Classe Dom Bosco,53068220,Masculino,11.362,10–11 anos,Matutino,,,,,,,
R0009,,,,Masculino,12.0,12–14 anos,Matutino,,,,,,,
R0010,2,CED São Bartolomeu,53014880,Masculino,15.28,15–17 anos,Matutino,,,,,,,
R0011,6,Escola Classe 104 de São Sebastião,53013484,Masculino,10.0,10–11 anos,Vespertino,≥12 anos,,Pardos/pretos,,,,
R0012,1,Escola Classe Dom Bosco,53068220,Masculino,10.146,10–11 anos,Vespertino,,,,,,,
R0013,,,,Feminino,15.0,15–17 anos,Matutino,,,,,,,
R0014,1,Escola Classe Dom Bosco,53068220,Masculino,10.502,10–11 anos,Matutino,,,,,,,
R0015,5,Escola Classe São Bartolomeu,53012178,Masculino,9.131,7–9 anos,Matutino,,,,,,,
R0016,,,,Feminino,9.0,7–9 anos,Matutino,,,,,,,
R0017,1,Escola Classe Dom Bosco,53068220,Feminino,10.053,10–11 anos,Matutino,,,,,,,
R0018,1,Escola Classe Dom Bosco,53068220,Masculino,8.969,7–9 anos,Vespertino,0–8 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0019,2,CED São Bartolomeu,53014880,Masculino,13.996,12–14 anos,Matutino,,,,,,,
R0020,1,Escola Classe Dom Bosco,53068220,Feminino,9.703,7–9 anos,Matutino,,,,,,,
R0021,6,Escola Classe 104 de São Sebastião,53013484,Masculino,10.141,10–11 anos,Vespertino,,,,,,,
R0022,2,CED São Bartolomeu,53014880,Feminino,15.118,15–17 anos,Matutino,9–11 anos,,Pardos/pretos,,,,
R0023,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,10.0,10–11 anos,Vespertino,≥12 anos,,Pardos/pretos,,,,
R0024,5,Escola Classe São Bartolomeu,53012178,Feminino,9.621,7–9 anos,Matutino,,,,,,,
R0025,1,Escola Classe Dom Bosco,53068220,Masculino,11.198,10–11 anos,Vespertino,,,,,,,
R0026,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,7.986,7–9 anos,Matutino,,,,,,,
R0027,,,,Feminino,13.0,12–14 anos,Vespertino,,,,,,,
R0028,,,,Feminino,10.0,10–11 anos,Vespertino,,,,,,,
R0029,5,Escola Classe São Bartolomeu,53012178,Masculino,8.594,7–9 anos,Matutino,,,,,,,
R0030,,,,Feminino,8.0,7–9 anos,Matutino,,,,,,,
R0031,,,,Feminino,14.0,12–14 anos,Matutino,,,,,,,
R0032,5,Escola Classe São Bartolomeu,53012178,Masculino,8.331,7–9 anos,Vespertino,9–11 anos,,Pardos/pretos,,,,
R0033,1,Escola Classe Dom Bosco,53068220,Masculino,10.861,10–11 anos,Vespertino,,,,,,,
R0034,1,Escola Classe Dom Bosco,53068220,Masculino,8.301,7–9 anos,Vespertino,,,,,,,
R0035,,,,Masculino,12.0,12–14 anos,Vespertino,,,,,,,
R0036,5,Escola Classe São Bartolomeu,53012178,Masculino,7.762,7–9 anos,Vespertino,,,,,,,
R0037,,,,Feminino,7.0,7–9 anos,Matutino,,,,,,,
R0038,,,,Masculino,8.0,7–9 anos,Vespertino,,,,,,,
R0039,7,Centro Educacional São José,53011988,Masculino,11.567,10–11 anos,Matutino,0–8 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,0.0
R0040,2,CED São Bartolomeu,53014880,Feminino,13.374,12–14 anos,Vespertino,9–11 anos,,Brancos,,,,
R0041,5,Escola Classe São Bartolomeu,53012178,Feminino,7.693,7–9 anos,Vespertino,,,,,,,
R0042,1,Escola Classe Dom Bosco,53068220,Masculino,9.574,7–9 anos,Vespertino,,,,,,,
R0043,2,CED São Bartolomeu,53014880,Feminino,13.588,12–14 anos,Matutino,,,,,,,
R0044,2,CED São Bartolomeu,53014880,Masculino,13.366,12–14 anos,Vespertino,Não soube informar,,,,,,
R0045,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,10.576,10–11 anos,Vespertino,≥12 anos,,Pardos/pretos,,,,
R0046,,,,Feminino,11.0,10–11 anos,Vespertino,,,,,,,
R0047,,,,Feminino,11.0,10–11 anos,Vespertino,,,,,,,
R0048,1,Escola Classe Dom Bosco,53068220,Masculino,10.519,10–11 anos,Matutino,,,,,,,
R0049,2,CED São Bartolomeu,53014880,Masculino,12.159,12–14 anos,Vespertino,,,,,,,
R0050,,,,Feminino,14.0,12–14 anos,Matutino,,,,,,,
R0051,,,,Feminino,13.0,12–14 anos,Vespertino,,,,,,,
R0052,1,Escola Classe Dom Bosco,53068220,Masculino,12.189,12–14 anos,Vespertino,,,,,,,
R0053,1,Escola Classe Dom Bosco,53068220,Masculino,11.362,10–11 anos,Vespertino,,,,,,,
R0054,,,,Feminino,10.0,10–11 anos,Matutino,,,,,,,
R0055,1,Escola Classe Dom Bosco,53068220,Feminino,11.088,10–11 anos,Matutino,,,,,,,
R0056,1,Escola Classe Dom Bosco,53068220,Feminino,10.47,10–11 anos,Matutino,,,,,,,
R0057,1,Escola Classe Dom Bosco,53068220,Masculino,9.254,7–9 anos,Matutino,,,,,,,
R0058,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,7.707,7–9 anos,Matutino,,,,,,,
R0059,,,,Feminino,9.0,7–9 anos,Vespertino,,,,,,,
R0060,,,,Masculino,10.0,10–11 anos,Matutino,,,,,,,
R0061,1,Escola Classe Dom Bosco,53068220,Masculino,10.836,10–11 anos,Vespertino,,,,,,,
R0062,1,Escola Classe Dom Bosco,53068220,Masculino,11.244,10–11 anos,Matutino,,,,,,,
R0063,1,Escola Classe Dom Bosco,53068220,Feminino,10.368,10–11 anos,Matutino,,,,,,,
R0064,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,7.507,7–9 anos,Matutino,,,,,,,
R0065,,,,Feminino,10.0,10–11 anos,Matutino,,,,,,,
R0066,1,Escola Classe Dom Bosco,53068220,Masculino,11.151,10–11 anos,Matutino,,,,,,,
R0067,4,CEF Miguel Arcanjo,53068211,Feminino,12.268,12–14 anos,Vespertino,,,,,,,
R0068,2,CED São Bartolomeu,53014880,Feminino,15.0,15–17 anos,Matutino,≥12 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,0.0
R0069,1,Escola Classe Dom Bosco,53068220,Feminino,10.333,10–11 anos,Matutino,,,,,,,
R0070,4,CEF Miguel Arcanjo,53068211,Masculino,14.366,12–14 anos,Matutino,,,,,,,
R0071,,,,Feminino,16.0,15–17 anos,Matutino,,,,,,,
R0072,1,Escola Classe Dom Bosco,53068220,Feminino,10.472,10–11 anos,Vespertino,,,,,,,
R0073,1,Escola Classe Dom Bosco,53068220,Masculino,10.305,10–11 anos,Matutino,0–8 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0074,6,Escola Classe 104 de São Sebastião,53013484,Masculino,10.593,10–11 anos,Vespertino,,Até 1 SM,Brancos,Algum risco,1,0,
R0075,1,Escola Classe Dom Bosco,53068220,Masculino,8.438,7–9 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0076,1,Escola Classe Dom Bosco,53068220,Feminino,9.741,7–9 anos,Matutino,0–8 anos,,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0077,7,Centro Educacional São José,53011988,Feminino,14.292,12–14 anos,Vespertino,Não soube informar,>2 SM,Brancos,Sem insegurança,0,0,1.0
R0078,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,10.0,10–11 anos,Vespertino,0–8 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0079,6,Escola Classe 104 de São Sebastião,53013484,Masculino,9.979,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0080,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,9.352,7–9 anos,Matutino,≥12 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0081,5,Escola Classe São Bartolomeu,53012178,Feminino,7.693,7–9 anos,Vespertino,9–11 anos,Até 1 SM,Brancos,Algum risco,1,0,1.0
R0082,6,Escola Classe 104 de São Sebastião,53013484,Feminino,10.998,10–11 anos,Vespertino,9–11 anos,Até 1 SM,Brancos,Risco moderado/grave,1,1,1.0
R0083,2,CED São Bartolomeu,53014880,Feminino,12.939,12–14 anos,Vespertino,9–11 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0084,1,Escola Classe Dom Bosco,53068220,Feminino,10.5,10–11 anos,Vespertino,≥12 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,1.0
R0085,2,CED São Bartolomeu,53014880,Masculino,13.591,12–14 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0086,6,Escola Classe 104 de São Sebastião,53013484,Feminino,8.624,7–9 anos,Vespertino,≥12 anos,>2 SM,Brancos,,,,0.0
R0087,1,Escola Classe Dom Bosco,53068220,Masculino,9.747,7–9 anos,Matutino,,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0088,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,7.866,7–9 anos,Matutino,≥12 anos,>2 SM,Brancos,Algum risco,1,0,0.0
R0089,1,Escola Classe Dom Bosco,53068220,Feminino,11.948,10–11 anos,Matutino,0–8 anos,,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0090,1,Escola Classe Dom Bosco,53068220,Masculino,9.588,7–9 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0091,2,CED São Bartolomeu,53014880,Masculino,12.83,12–14 anos,Vespertino,0–8 anos,,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0092,2,CED São Bartolomeu,53014880,Feminino,11.57,10–11 anos,Vespertino,0–8 anos,Até 1 SM,Brancos,Algum risco,1,0,1.0
R0093,2,CED São Bartolomeu,53014880,Feminino,11.959,10–11 anos,Vespertino,9–11 anos,,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0094,4,CEF Miguel Arcanjo,53068211,Feminino,14.385,12–14 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0095,1,Escola Classe Dom Bosco,53068220,Masculino,8.923,7–9 anos,Vespertino,9–11 anos,Até 1 SM,Brancos,Sem insegurança,0,0,1.0
R0096,2,CED São Bartolomeu,53014880,Feminino,14.086,12–14 anos,Matutino,0–8 anos,1 a 2 SM,Outras raças/cores,Sem insegurança,0,0,0.0
R0097,1,Escola Classe Dom Bosco,53068220,Feminino,8.783,7–9 anos,Vespertino,0–8 anos,Até 1 SM,Outras raças/cores,Algum risco,1,0,1.0
R0098,1,Escola Classe Dom Bosco,53068220,Feminino,9.325,7–9 anos,Matutino,≥12 anos,1 a 2 SM,Outras raças/cores,Sem insegurança,0,0,0.0
R0099,6,Escola Classe 104 de São Sebastião,53013484,Feminino,9.265,7–9 anos,Matutino,≥12 anos,>2 SM,Brancos,Risco moderado/grave,1,1,0.0
R0100,7,Centro Educacional São José,53011988,Masculino,12.277,12–14 anos,Matutino,9–11 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0101,1,Escola Classe Dom Bosco,53068220,Masculino,8.0,7–9 anos,Vespertino,≥12 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,1.0
R0102,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,11.0,10–11 anos,Vespertino,0–8 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,0.0
R0103,7,Centro Educacional São José,53011988,Masculino,14.686,12–14 anos,Vespertino,≥12 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,0.0
R0104,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,7.967,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0105,5,Escola Classe São Bartolomeu,53012178,Feminino,9.123,7–9 anos,Matutino,0–8 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0106,1,Escola Classe Dom Bosco,53068220,Masculino,10.456,10–11 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0107,6,Escola Classe 104 de São Sebastião,53013484,Feminino,10.85,10–11 anos,Matutino,≥12 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0108,4,CEF Miguel Arcanjo,53068211,Masculino,12.969,12–14 anos,Matutino,≥12 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0109,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,7.721,7–9 anos,Matutino,0–8 anos,,Brancos,Risco moderado/grave,1,1,
R0110,6,Escola Classe 104 de São Sebastião,53013484,Feminino,7.655,7–9 anos,Matutino,≥12 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0111,2,CED São Bartolomeu,53014880,Masculino,14.979,12–14 anos,Matutino,0–8 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,1.0
R0112,2,CED São Bartolomeu,53014880,Feminino,14.264,12–14 anos,Matutino,9–11 anos,>2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0113,1,Escola Classe Dom Bosco,53068220,Feminino,9.114,7–9 anos,Vespertino,0–8 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,0.0
R0114,5,Escola Classe São Bartolomeu,53012178,Feminino,7.0,7–9 anos,Vespertino,≥12 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,1.0
R0115,6,Escola Classe 104 de São Sebastião,53013484,Feminino,11.332,10–11 anos,Matutino,≥12 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0116,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,8.676,7–9 anos,Matutino,0–8 anos,Até 1 SM,Brancos,Sem insegurança,0,0,1.0
R0117,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,8.939,7–9 anos,Matutino,≥12 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0118,2,CED São Bartolomeu,53014880,Masculino,12.515,12–14 anos,Vespertino,9–11 anos,1 a 2 SM,Brancos,Algum risco,1,0,0.0
R0119,1,Escola Classe Dom Bosco,53068220,Feminino,10.853,10–11 anos,Matutino,≥12 anos,1 a 2 SM,Brancos,Risco moderado/grave,1,1,0.0
R0120,4,CEF Miguel Arcanjo,53068211,Feminino,12.86,12–14 anos,Matutino,≥12 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0121,1,Escola Classe Dom Bosco,53068220,Feminino,9.572,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,1.0
R0122,6,Escola Classe 104 de São Sebastião,53013484,Feminino,10.149,10–11 anos,Vespertino,9–11 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0123,6,Escola Classe 104 de São Sebastião,53013484,Feminino,7.526,7–9 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0124,6,Escola Classe 104 de São Sebastião,53013484,Masculino,8.457,7–9 anos,Matutino,9–11 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,
R0125,7,Centro Educacional São José,53011988,Masculino,14.305,12–14 anos,Vespertino,0–8 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0126,2,CED São Bartolomeu,53014880,Feminino,15.097,15–17 anos,Matutino,9–11 anos,Até 1 SM,Brancos,Sem insegurança,0,0,1.0
R0127,6,Escola Classe 104 de São Sebastião,53013484,Feminino,10.628,10–11 anos,Matutino,0–8 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0128,6,Escola Classe 104 de São Sebastião,53013484,Feminino,10.522,10–11 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0129,2,CED São Bartolomeu,53014880,Feminino,15.444,15–17 anos,Matutino,,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0130,5,Escola Classe São Bartolomeu,53012178,Masculino,8.4,7–9 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0131,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,11.102,10–11 anos,Vespertino,≥12 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0132,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,9.224,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,1.0
R0133,6,Escola Classe 104 de São Sebastião,53013484,Feminino,8.159,7–9 anos,Vespertino,9–11 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0134,1,Escola Classe Dom Bosco,53068220,Masculino,9.714,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0135,6,Escola Classe 104 de São Sebastião,53013484,Feminino,9.916,7–9 anos,Matutino,0–8 anos,Até 1 SM,Brancos,Risco moderado/grave,1,1,1.0
R0136,1,Escola Classe Dom Bosco,53068220,Masculino,10.0,10–11 anos,Vespertino,≥12 anos,>2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0137,4,CEF Miguel Arcanjo,53068211,Feminino,13.0,12–14 anos,Vespertino,0–8 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0138,2,CED São Bartolomeu,53014880,Masculino,12.005,12–14 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,1.0
R0139,2,CED São Bartolomeu,53014880,Feminino,12.123,12–14 anos,Vespertino,≥12 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0140,2,CED São Bartolomeu,53014880,Feminino,12.178,12–14 anos,Vespertino,0–8 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0141,2,CED São Bartolomeu,53014880,Feminino,12.005,12–14 anos,Vespertino,9–11 anos,Até 1 SM,Brancos,Risco moderado/grave,1,1,1.0
R0142,4,CEF Miguel Arcanjo,53068211,Feminino,14.727,12–14 anos,Matutino,9–11 anos,Até 1 SM,Brancos,Sem insegurança,0,0,1.0
R0143,6,Escola Classe 104 de São Sebastião,53013484,Feminino,8.646,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0144,2,CED São Bartolomeu,53014880,Feminino,,,Matutino,9–11 anos,,Brancos,Risco moderado/grave,1,1,0.0
R0145,2,CED São Bartolomeu,53014880,Masculino,14.746,12–14 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0146,1,Escola Classe Dom Bosco,53068220,Masculino,10.409,10–11 anos,Matutino,≥12 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0147,2,CED São Bartolomeu,53014880,Masculino,11.493,10–11 anos,Vespertino,9–11 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,1.0
R0148,6,Escola Classe 104 de São Sebastião,53013484,Masculino,9.733,7–9 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0149,1,Escola Classe Dom Bosco,53068220,Masculino,9.366,7–9 anos,Vespertino,0–8 anos,Até 1 SM,Outras raças/cores,Sem insegurança,0,0,1.0
R0150,2,CED São Bartolomeu,53014880,Masculino,11.439,10–11 anos,Vespertino,9–11 anos,Até 1 SM,Brancos,Risco moderado/grave,1,1,1.0
R0151,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,8.052,7–9 anos,Matutino,≥12 anos,Até 1 SM,,Sem insegurança,0,0,1.0
R0152,1,Escola Classe Dom Bosco,53068220,Masculino,8.402,7–9 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0153,2,CED São Bartolomeu,53014880,Feminino,15.0,15–17 anos,Matutino,9–11 anos,1 a 2 SM,Outras raças/cores,Sem insegurança,0,0,0.0
R0154,2,CED São Bartolomeu,53014880,Masculino,12.246,12–14 anos,Vespertino,≥12 anos,Até 1 SM,Brancos,Risco moderado/grave,1,1,1.0
R0155,2,CED São Bartolomeu,53014880,Feminino,15.0,15–17 anos,Matutino,0–8 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0156,2,CED São Bartolomeu,53014880,Feminino,13.005,12–14 anos,Vespertino,0–8 anos,>2 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0157,2,CED São Bartolomeu,53014880,Masculino,12.868,12–14 anos,Vespertino,9–11 anos,>2 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0158,2,CED São Bartolomeu,53014880,Feminino,12.225,12–14 anos,Vespertino,9–11 anos,Até 1 SM,Brancos,Sem insegurança,0,0,1.0
R0159,3,Escola Classe Cerâmica da Bênção,53009770,Feminino,7.68,7–9 anos,Matutino,9–11 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,1.0
R0160,5,Escola Classe São Bartolomeu,53012178,Masculino,7.926,7–9 anos,Vespertino,0–8 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,1.0
R0161,4,CEF Miguel Arcanjo,53068211,Masculino,11.663,10–11 anos,Vespertino,0–8 anos,>2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0162,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,8.277,7–9 anos,Matutino,9–11 anos,>2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0163,1,Escola Classe Dom Bosco,53068220,Masculino,9.257,7–9 anos,Vespertino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0164,4,CEF Miguel Arcanjo,53068211,Masculino,13.692,12–14 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0165,6,Escola Classe 104 de São Sebastião,53013484,Feminino,8.471,7–9 anos,Vespertino,9–11 anos,Até 1 SM,Brancos,Risco moderado/grave,1,1,0.0
R0166,6,Escola Classe 104 de São Sebastião,53013484,Masculino,10.168,10–11 anos,Matutino,9–11 anos,Até 1 SM,Brancos,Sem insegurança,0,0,0.0
R0167,2,CED São Bartolomeu,53014880,Masculino,12.268,12–14 anos,Vespertino,9–11 anos,Até 1 SM,Brancos,Algum risco,1,0,1.0
R0168,2,CED São Bartolomeu,53014880,Feminino,15.343,15–17 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Algum risco,1,0,0.0
R0169,1,Escola Classe Dom Bosco,53068220,Masculino,8.353,7–9 anos,Vespertino,≥12 anos,1 a 2 SM,Brancos,Sem insegurança,0,0,
R0170,1,Escola Classe Dom Bosco,53068220,Masculino,9.062,7–9 anos,Vespertino,9–11 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0171,1,Escola Classe Dom Bosco,53068220,Masculino,9.599,7–9 anos,Matutino,9–11 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0172,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,8.498,7–9 anos,Matutino,≥12 anos,>2 SM,Brancos,Sem insegurança,0,0,0.0
R0173,4,CEF Miguel Arcanjo,53068211,Feminino,12.515,12–14 anos,Matutino,≥12 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0174,4,CEF Miguel Arcanjo,53068211,Masculino,12.602,12–14 anos,Matutino,9–11 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0175,7,Centro Educacional São José,53011988,Feminino,11.723,10–11 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0176,4,CEF Miguel Arcanjo,53068211,Masculino,12.906,12–14 anos,Matutino,9–11 anos,>2 SM,Brancos,Sem insegurança,0,0,1.0
R0177,2,CED São Bartolomeu,53014880,Masculino,12.033,12–14 anos,Vespertino,≥12 anos,Até 1 SM,Brancos,Sem insegurança,0,0,1.0
R0178,4,CEF Miguel Arcanjo,53068211,Feminino,11.562,10–11 anos,Vespertino,9–11 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0179,2,CED São Bartolomeu,53014880,Masculino,11.458,10–11 anos,Vespertino,0–8 anos,Até 1 SM,Brancos,Risco moderado/grave,1,1,1.0
R0180,2,CED São Bartolomeu,53014880,Masculino,14.776,12–14 anos,Matutino,9–11 anos,,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0181,3,Escola Classe Cerâmica da Bênção,53009770,Masculino,8.627,7–9 anos,Matutino,9–11 anos,Até 1 SM,Pardos/pretos,Algum risco,1,0,1.0
R0182,1,Escola Classe Dom Bosco,53068220,Feminino,9.563,7–9 anos,Vespertino,≥12 anos,1 a 2 SM,Pardos/pretos,Sem insegurança,0,0,1.0
R0183,1,Escola Classe Dom Bosco,53068220,Feminino,11.042,10–11 anos,Matutino,≥12 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0184,6,Escola Classe 104 de São Sebastião,53013484,Feminino,8.515,7–9 anos,Matutino,≥12 anos,>2 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0185,6,Escola Classe 104 de São Sebastião,53013484,Feminino,7.721,7–9 anos,Vespertino,9–11 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,1.0
R0186,6,Escola Classe 104 de São Sebastião,53013484,Feminino,11.244,10–11 anos,Matutino,≥12 anos,>2 SM,Pardos/pretos,Sem insegurança,0,0,0.0
R0187,7,Centro Educacional São José,53011988,Masculino,12.824,12–14 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0188,1,Escola Classe Dom Bosco,53068220,Feminino,9.878,7–9 anos,Matutino,≥12 anos,>2 SM,Brancos,Algum risco,1,0,0.0
R0189,6,Escola Classe 104 de São Sebastião,53013484,Masculino,9.169,7–9 anos,Matutino,≥12 anos,>2 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
R0190,2,CED São Bartolomeu,53014880,Masculino,14.319,12–14 anos,Matutino,9–11 anos,1 a 2 SM,Pardos/pretos,Risco moderado/grave,1,1,0.0
